"gender","ht"
"F",55.3980425431826
"F",64.9754677237078
"F",70.591666601334
"F",63.5744794402592
"F",62.5352979265692
"F",64.408055212261
"F",53.2469528742365
"F",57.4039253382989
"F",56.1689405194989
"F",60.2145354702539
"F",59.4365567066035
"F",55.7507511012623
"F",56.6580935874763
"F",64.0370818437079
"F",56.9690427338468
"F",57.4301985996431
"F",67.2427109678796
"F",64.1013824560247
"F",53.9765016040154
"F",59.1585119301514
"F",56.6305913603465
"F",59.7674542667967
"F",53.2451458174133
"F",54.5667783506276
"F",55.0516706027026
"F",52.2667898148415
"F",53.7027207551145
"F",61.0215921664902
"F",60.0512979925499
"F",60.0017774184576
"F",54.9717105498636
"F",63.7860299121572
"F",57.4084322694633
"F",48.5199407909311
"F",60.0106262084626
"F",47.7873896430727
"F",58.1347297341282
"F",57.738776719556
"F",59.8331113523106
"F",69.4184963631202
"F",50.231434808254
"F",64.3689085194243
"F",60.7178864444723
"F",57.9589153749241
"F",67.8645327248926
"F",53.7712598154689
"F",60.1585591201724
"F",59.6697308430842
"F",67.2766665258835
"F",61.3549349517792
"F",57.1121515816192
"F",54.2769808901451
"F",58.6328388234163
"F",65.6211353991341
"F",55.2249997233273
"F",60.7986908049658
"F",52.0488330331781
"F",73.2225748364344
"F",58.5232457771553
"F",62.9581884714794
"F",60.0078638427767
"F",68.9514325141544
"F",52.2602192171327
"F",56.6377192608969
"F",65.1109207571322
"F",67.1031072501538
"F",61.5945062236947
"F",60.2804830797226
"F",60.0243701178792
"F",68.0383782934211
"F",53.5049866124282
"F",56.6049511694343
"F",65.0336028856953
"F",56.7687361199016
"F",46.9585982092765
"F",67.9348601118283
"F",67.0575099311231
"F",62.2131174952595
"F",59.6234335049221
"F",56.30573440926
"F",55.6732243652932
"F",63.6763897847964
"F",62.6664746744011
"F",61.0949761364542
"F",65.4969796604859
"F",61.9298275390367
"F",62.8056426972617
"F",64.6562340297507
"F",58.6620975406271
"F",58.8255830407441
"F",57.2542343025047
"F",58.6188445456147
"F",58.0237902092222
"F",60.7309120116854
"F",71.3517672653581
"F",63.6851439918685
"F",71.4735041474598
"F",50.5070137601564
"F",60.0416798232142
"F",58.3489606825003
"F",58.8070518793752
"F",66.4347810418731
"F",60.9032860620399
"F",56.8609234757017
"F",56.6505272172047
"F",51.9348239586283
"F",58.0442594170211
"F",60.2511844942462
"F",70.5332964229405
"F",68.8403357919651
"F",52.4947164502597
"F",61.1407934140228
"F",55.4698819674216
"F",54.1572869972946
"F",63.1734045553604
"F",57.7220878780499
"F",65.0177832885783
